FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
149.0,260.0,-260.0,149.0,186.0,-37.0,0.0,149.0,-37.0,37.0,-74.0,37.0,-149.0,186.0,-74.0,0.0
112.0,149.0,-260.0,297.0,75.0,0.0,0.0,223.0,111.0,-111.0,74.0,-74.0,37.0,74.0,-37.0,-74.0
149.0,186.0,-260.0,297.0,74.0,37.0,112.0,149.0,112.0,-112.0,260.0,-149.0,112.0,37.0,-74.0,37.0
112.0,223.0,-298.0,298.0,37.0,-37.0,186.0,149.0,37.0,-37.0,186.0,-112.0,-37.0,37.0,0.0,74.0
-74.0,74.0,0.0,186.0,186.0,-297.0,260.0,37.0,0.0,0.0,112.0,-37.0,37.0,-37.0,112.0,-37.0
0.0,149.0,-75.0,223.0,149.0,-149.0,112.0,186.0,-149.0,223.0,149.0,-74.0,223.0,-335.0,260.0,0.0
112.0,149.0,-223.0,149.0,186.0,0.0,-37.0,37.0,-149.0,260.0,74.0,0.0,112.0,-37.0,37.0,74.0
112.0,149.0,-149.0,-112.0,149.0,37.0,0.0,-186.0,37.0,149.0,-112.0,37.0,-74.0,297.0,-74.0,-37.0
149.0,223.0,-223.0,186.0,186.0,-37.0,0.0,186.0,-74.0,37.0,-74.0,37.0,-186.0,186.0,-74.0,0.0
75.0,186.0,-223.0,223.0,111.0,-74.0,74.0,149.0,149.0,-112.0,74.0,-74.0,111.0,37.0,0.0,-112.0
149.0,186.0,-260.0,297.0,74.0,37.0,149.0,112.0,112.0,-112.0,260.0,-112.0,112.0,37.0,-37.0,37.0
112.0,223.0,-297.0,297.0,37.0,-74.0,223.0,149.0,37.0,-37.0,186.0,-75.0,-37.0,37.0,0.0,111.0
-111.0,74.0,0.0,186.0,149.0,-260.0,260.0,0.0,0.0,37.0,111.0,-37.0,37.0,-37.0,112.0,0.0
0.0,149.0,-74.0,260.0,149.0,-112.0,111.0,186.0,-149.0,223.0,149.0,-74.0,223.0,-297.0,223.0,0.0
112.0,149.0,-186.0,75.0,186.0,0.0,-37.0,0.0,-149.0,260.0,111.0,-37.0,112.0,-37.0,74.0,37.0
112.0,149.0,-149.0,-112.0,186.0,0.0,0.0,-186.0,-37.0,186.0,-112.0,74.0,-74.0,297.0,-111.0,0.0
186.0,223.0,-260.0,186.0,223.0,-74.0,0.0,186.0,-37.0,37.0,-111.0,111.0,-149.0,186.0,-112.0,74.0
112.0,149.0,-223.0,223.0,75.0,-37.0,37.0,186.0,149.0,-112.0,74.0,-74.0,112.0,37.0,-37.0,-75.0
112.0,186.0,-297.0,335.0,37.0,37.0,112.0,149.0,112.0,-112.0,260.0,-112.0,112.0,37.0,-74.0,74.0
149.0,186.0,-297.0,297.0,37.0,-37.0,186.0,149.0,0.0,-37.0,186.0,-74.0,-74.0,37.0,0.0,112.0
148.0,36.0,0.0,185.0,259.0,-148.0,148.0,112.0,-111.0,37.0,111.0,-37.0,-74.0,0.0,111.0,-37.0
111.0,74.0,-111.0,148.0,185.0,-111.0,0.0,148.0,75.0,0.0,111.0,-74.0,148.0,-74.0,185.0,-148.0
111.0,74.0,-74.0,74.0,222.0,-37.0,-148.0,148.0,37.0,74.0,37.0,-74.0,74.0,37.0,0.0,-37.0
111.0,0.0,0.0,111.0,185.0,-111.0,37.0,111.0,0.0,148.0,-37.0,0.0,74.0,148.0,-223.0,111.0
111.0,148.0,-74.0,37.0,222.0,-185.0,148.0,37.0,-111.0,-37.0,111.0,37.0,-37.0,74.0,-148.0,111.0
-74.0,148.0,-185.0,148.0,111.0,-148.0,185.0,-111.0,-37.0,0.0,111.0,0.0,74.0,37.0,-37.0,0.0
74.0,148.0,-333.0,296.0,185.0,-111.0,0.0,111.0,0.0,-74.0,185.0,-37.0,0.0,74.0,37.0,-37.0
185.0,74.0,-259.0,296.0,185.0,-74.0,0.0,185.0,0.0,-74.0,111.0,-37.0,0.0,74.0,0.0,-74.0
223.0,149.0,0.0,223.0,483.0,-186.0,75.0,223.0,-148.0,-37.0,260.0,-112.0,-37.0,-37.0,260.0,-223.0
334.0,75.0,-112.0,186.0,372.0,37.0,-186.0,260.0,186.0,111.0,149.0,-223.0,483.0,-372.0,334.0,-223.0
186.0,0.0,0.0,0.0,261.0,185.0,-334.0,75.0,74.0,334.0,-148.0,-148.0,111.0,37.0,-37.0,0.0
112.0,-111.0,148.0,-185.0,261.0,-186.0,111.0,-222.0,0.0,297.0,-334.0,185.0,-186.0,520.0,-446.0,260.0
112.0,37.0,74.0,-74.0,335.0,-483.0,334.0,-37.0,-149.0,0.0,-222.0,297.0,-334.0,372.0,-409.0,297.0
37.0,111.0,-149.0,223.0,334.0,-482.0,408.0,-37.0,-37.0,-185.0,149.0,37.0,0.0,1.0,74.0,-111.0
149.0,260.0,-520.0,446.0,334.0,-260.0,148.0,111.0,0.0,-111.0,297.0,-37.0,185.0,-296.0,371.0,-111.0
223.0,223.0,-557.0,520.0,260.0,-186.0,-37.0,371.0,0.0,185.0,0.0,-111.0,148.0,-111.0,223.0,-186.0
75.0,259.0,-111.0,334.0,334.0,-185.0,111.0,297.0,-74.0,-37.0,186.0,-111.0,-37.0,75.0,-37.0,-37.0
74.0,223.0,-186.0,260.0,223.0,-37.0,-37.0,223.0,223.0,-37.0,149.0,-148.0,222.0,0.0,-37.0,0.0
37.0,223.0,-186.0,149.0,297.0,0.0,-74.0,0.0,74.0,0.0,112.0,-186.0,37.0,37.0,0.0,-74.0
111.0,37.0,-112.0,186.0,297.0,-297.0,297.0,-74.0,-37.0,37.0,112.0,-112.0,-37.0,111.0,-186.0,111.0
112.0,186.0,-260.0,223.0,334.0,-371.0,260.0,37.0,-74.0,-37.0,1.0,37.0,-111.0,148.0,-223.0,111.0
0.0,186.0,-260.0,297.0,223.0,-186.0,149.0,37.0,-111.0,111.0,-37.0,0.0,111.0,-37.0,-37.0,-74.0
111.0,260.0,-408.0,408.0,260.0,-149.0,-37.0,297.0,-37.0,-37.0,37.0,37.0,37.0,-185.0,186.0,-37.0
